study_accession,n_runs,n_runs_profiled,frac_non_metagenome_strict,frac_non_metagenome_loose,frac_named_human_host,frac_named_nonhuman_host,frac_named_microbe,frac_synthetic,frac_rna_strict,frac_low_complexity_profiled,frac_low_depth_profiled,frac_predicted_ecological_profiled,frac_low_ksf_high_depth_profiled,median_spf,median_known_species_fraction,median_root_coverage,study_title,triage_verdict,reason_code,auditor_attention,auditor_reason
PRJNA945262,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Neonatal Gut Microbiome in a mother child paired design,include,,False,
PRJNA947616,606,478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13598326359832635,0.008368200836820083,0.0,0.010460251046025104,73.13,96.87,512.68,Gut microbiome and bloodstream infections among premature infants in Singapore,include,,False,
PRJNA949443,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,human gut metagenome Targeted Locus (Loci),include,,False,
PRJNA949528,183,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.005952380952380952,0.017857142857142856,94.83,91.57,1822.3400000000001,"Health programming, evolution of the infants microbiome",include,,False,
PRJNA955235,190,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.00558659217877095,0.00558659217877095,84.9,94.74,1648.17,Persistent delay in maturation of the developing gut microbiome in infants with cystic fibrosis,include,,False,
PRJNA961698,736,658,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016717325227963525,0.0,0.0182370820668693,0.00303951367781155,78.97,93.305,1176.13,Very Early Life Microbiome and Metabolome Correlates with Primary Vaccination Variability in Children,include,,False,
PRJNA971895,209,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05641025641025641,0.0,0.0,0.0,85.64,92.44,396.62,Resismet,include,,False,
PRJNA978345,96,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13253012048192772,0.0,0.0,0.012048192771084338,67.95,88.33,376.41,Infant cystic fibrosis BAL and stool microbiome,include,,False,
PRJNA979436,13,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.23,93.25,894.7,Different development status of gut microbiome link to the dysbiosis of gut ecosystem in early childhood with atopic dermatitis,include,,False,
PRJNA986854,65,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.0,91.22,94.34,4006.49,stool sample of paired mother-infant for 16S rRNA sequencing analysis,include,,False,
PRJNA988496,273,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.009259259259259259,65.13,91.155,856.58,Delivery mode impacts gut bacteriophage colonization during infancy,include,,False,
PRJNA991269,128,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,80.745,81.715,526.5450000000001,Comparative characterization of the infant gut microbiome and their maternal lineage by a multi-omics approach,include,,False,
PRJNA994433,80,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,90.73,90.815,316.09000000000003,Longitudinal Variability of Bifidobacterium Species in the Infant Gut is Independent of Maternal Milk HMO Composition,include,,False,
